,Concrete,Strand,Rebar,Span_ft,L_sq,ratio_strand_concrete,ratio_rebar_concrete,interaction_strand_L
381,-0.007088478573866509,0.004429672434753864,-0.10308921273274356,0.7115680669648206,0.6581948038463274,-0.07761607016876633,-0.1741885103503685,0.4766803801203019
285,-1.2567609975221223,-1.1090605715015147,-0.10308921273274356,0.005929733891373981,-0.09493194286245134,-0.3821855601303345,0.8164671195586224,-0.2858321659745514
35,-0.007088478573866509,1.1889937617286568,1.1566660078986701,-1.4053469322555192,-1.2999347375964974,0.8808193877522514,0.722144056923671,-0.7657866244561646
571,-0.007088478573866509,0.004429672434753864,1.1566660078986701,1.4172064000382671,1.5117384501162767,-0.07761607016876633,0.722144056923671,1.1414239603384908
78,-1.2567609975221223,1.1889937617286568,-1.3828405479773531,-1.4053469322555192,-1.2999347375964974,1.9362816451171263,-0.3189225952874261,-0.4546515473876939
552,-1.2567609975221223,1.1889937617286568,-1.3828405479773531,1.4172064000382671,1.5117384501162767,1.9362816451171263,-0.3189225952874261,3.0649084444108445
301,-1.2567609975221223,-1.1090605715015147,1.1566660078986701,0.005929733891373981,-0.09493194286245134,-0.3821855601303345,1.934116370110203,-0.2858321659745514
485,1.1801004144269764,-1.1090605715015147,-1.3828405479773531,1.4172064000382671,1.5117384501162767,-1.3609611483250097,-1.575834490550592,-0.08430579088362068
211,-1.2567609975221223,0.004429672434753864,1.1566660078986701,-0.6997085991820726,-0.7476417900100597,0.7411954568452389,1.934116370110203,-0.2706130564648525
174,-0.007088478573866509,-1.1090605715015147,-0.10308921273274356,-0.6997085991820726,-0.7476417900100597,-0.9785454006145233,-0.1741885103503685,-1.0006280320884997
91,-1.2567609975221223,0.004429672434753864,1.1566660078986701,-1.4053469322555192,-1.2999347375964974,0.7411954568452389,1.934116370110203,-0.8069457490010967
68,-0.007088478573866509,-1.1090605715015147,1.1566660078986701,-1.4053469322555192,-1.2999347375964974,-0.9785454006145233,0.722144056923671,-1.3139005931841852
224,1.1801004144269764,0.004429672434753864,1.1566660078986701,-0.6997085991820726,-0.7476417900100597,-0.6026789618664975,-0.05503318890719255,-0.8410760112534031
576,1.1801004144269764,0.004429672434753864,1.1566660078986701,1.4172064000382671,1.5117384501162767,-0.6026789618664975,-0.05503318890719255,0.6399335829091806
510,-0.007088478573866509,1.1889937617286568,1.1566660078986701,1.4172064000382671,1.5117384501162767,0.8808193877522514,0.722144056923671,2.0568307947089997
15,-1.2567609975221223,0.004429672434753864,-0.10308921273274356,-1.4053469322555192,-1.2999347375964974,0.7411954568452389,0.8164671195586224,-0.8069457490010967
239,1.1801004144269764,1.1889937617286568,-0.10308921273274356,-0.6997085991820726,-0.7476417900100597,0.20400421521702622,-0.8094464330295094,-0.49864604728517553
