Concrete,Strand,Rebar,Span_ft,L_sq,ratio_strand_concrete,ratio_rebar_concrete,interaction_strand_L
405.0,1.26,2.18,100.0,10000.0,0.003111111111111111,0.005382716049382717,31.11111111111111
405.0,1.26,2.18,100.0,10000.0,0.003111111111111111,0.005382716049382717,31.11111111111111
405.0,1.26,2.18,100.0,10000.0,0.003111111111111111,0.005382716049382717,31.11111111111111
405.0,1.26,2.18,100.0,10000.0,0.003111111111111111,0.005382716049382717,31.11111111111111
405.0,1.26,2.18,100.0,10000.0,0.003111111111111111,0.005382716049382717,31.11111111111111
505.0,1.26,2.18,100.0,10000.0,0.002495049504950495,0.004316831683168317,24.95049504950495
505.0,1.26,2.18,100.0,10000.0,0.002495049504950495,0.004316831683168317,24.95049504950495
505.0,1.26,2.18,100.0,10000.0,0.002495049504950495,0.004316831683168317,24.95049504950495
505.0,1.26,2.18,100.0,10000.0,0.002495049504950495,0.004316831683168317,24.95049504950495
505.0,1.26,2.18,100.0,10000.0,0.002495049504950495,0.004316831683168317,24.95049504950495
600.0,1.26,2.18,100.0,10000.0,0.0021,0.0036333333333333335,21.0
600.0,1.26,2.18,100.0,10000.0,0.0021,0.0036333333333333335,21.0
600.0,1.26,2.18,100.0,10000.0,0.0021,0.0036333333333333335,21.0
600.0,1.26,2.18,100.0,10000.0,0.0021,0.0036333333333333335,21.0
600.0,1.26,2.18,100.0,10000.0,0.0021,0.0036333333333333335,21.0
405.0,1.73,2.82,100.0,10000.0,0.0042716049382716045,0.0069629629629629625,42.716049382716044
405.0,1.73,2.82,100.0,10000.0,0.0042716049382716045,0.0069629629629629625,42.716049382716044
405.0,1.73,2.82,100.0,10000.0,0.0042716049382716045,0.0069629629629629625,42.716049382716044
405.0,1.73,2.82,100.0,10000.0,0.0042716049382716045,0.0069629629629629625,42.716049382716044
405.0,1.73,2.82,100.0,10000.0,0.0042716049382716045,0.0069629629629629625,42.716049382716044
505.0,1.73,2.82,100.0,10000.0,0.0034257425742574257,0.005584158415841584,34.257425742574256
505.0,1.73,2.82,100.0,10000.0,0.0034257425742574257,0.005584158415841584,34.257425742574256
505.0,1.73,2.82,100.0,10000.0,0.0034257425742574257,0.005584158415841584,34.257425742574256
